tracking_id	gene_id	gene_short_name	0_10_FPKM	0_12_FPKM	0_FPKM	10_25_FPKM	12_FPKM	21_25_FPKM	25_FPKM	3_FPKM	6_FPKM
YHR102W	YHR102W	KIC1	16.9073	17.7446	20.845	14.484	19.9709	18.6749	18.7955	19.5048	21.2492
YHR103W	YHR103W	SBE22	30.5248	40.8459	31.2801	40.4202	43.5913	43.5608	43.8398	39.9358	39.873
YHR104W	YHR104W	GRE3	55.2717	73.8729	113.004	68.3035	104.841	67.9318	96.8036	113.762	106.146
YHR105W	YHR105W	YPT35	18.7496	15.5798	21.0676	13.2261	17.6823	15.0035	13.2983	18.8759	19.2408
YHR106W	YHR106W	TRR2	34.9345	37.0985	37.2223	38.8488	31.5899	32.9283	31.6186	33.9201	34.4857
YHR107C	YHR107C	CDC12	156.884	164.473	139.53	174.618	150.588	151.15	142.843	160.503	157.51
YHR108W	YHR108W	GGA2	137.391	142.858	125.593	134.969	134.002	138.882	136.293	132.134	137.753
YHR109W	YHR109W	CTM1	7.47394	7.53646	10.9093	7.46816	11.8848	8.44644	11.3217	9.23191	10.9608
YHR110W	YHR110W	ERP5	107.567	119.058	129.536	115.838	124.658	111.543	131.166	127.711	122.918
YHR111W	YHR111W	UBA4	73.5522	55.5403	79.0396	53.6835	61.2974	57.6398	60.5986	69.0101	60.7752
YHR112C	YHR112C	YHR112C	55.7364	51.2147	74.6862	44.8572	55.9765	49.6426	57.0303	61.7593	56.1729
YHR113W	YHR113W	YHR113W	55.5174	76.0882	72.1216	73.0683	70.3443	72.7004	68.1185	71.1812	71.1439
YHR114W	YHR114W	BZZ1	42.3073	42.8554	43.9871	45.7543	47.5262	42.5791	47.2028	47.7386	46.335
YHR115C	YHR115C	DMA1	53.1828	61.3483	51.2842	62.0847	69.2366	66.0735	66.808	64.9592	68.6492
